Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2020-10;National;NIMES;PARIS LYON;180;160;1;;144;8.429398148;7.61163522;;35;42.29;9.979454927;;30;47.30611111;17;7;45.71428571;14.28571429;20.0;17.14285714;2.857142857;0.0
2020-11;National;NIMES;PARIS LYON;181;98;10;;59;7.143502825;4.704166667;;7;44.61666667;2.773863636;;5;57.8;3;2;71.42857143;28.57142857;0.0;0.0;0.0;0.0
2020-12;National;NIMES;PARIS LYON;178;179;10;;121;4.383333333;3.070907298;;15;45.60222222;3.14112426;;13;50.68974359;5;4;40.0;40.0;13.33333333;6.666666667;0.0;0.0
2021-01;National;NIMES;PARIS LYON;177;181;1;;63;14.23835979;5.057777778;;37;38.23513514;7.446574074074079;;31;43.07311828;14;6;27.02702703;18.91891892;8.108108108;16.21621622;13.51351351;16.21621622
2021-02;National;NIMES;PARIS LYON;177;174;1;;63;11.26164021;4.136127168;;26;51.2224359;7.200096339;;19;65.35;13;6;34.61538461538459;3.846153846;3.846153846;30.76923077;15.38461538;11.53846154
2021-03;National;NIMES;PARIS LYON;177;158;5;;47;11.11028369;3.4991285403050103;;22;41.08787879;4.899891068;;16;51.33229167;10;5;31.81818182;40.90909091;4.545454545454549;13.63636364;0.0;9.090909091
2021-04;National;NIMES;PARIS LYON;176;250;61;;52;9.672435897;2.609259259;;12;34.37222222;1.959347443;;11;36.30606061;4;1;66.66666667;8.333333333;0.0;8.333333333;8.333333333;8.333333333
2021-05;National;NIMES;PARIS LYON;177;246;15;;76;14.95833333;4.955895197;;47;34.72092199;8.186390102;;32;45.0078125;15;9;31.91489362;34.04255319;14.89361702;6.382978723404251;6.382978723404251;6.382978723404251
2021-06;National;NIMES;PARIS LYON;176;251;0;;101;20.481683168316803;8.227224436;;71;44.36877934;12.72961487;;61;49.45546448087429;39;18;22.53521127;29.57746479;21.12676056;11.26760563;1.408450704;14.08450704
2021-07;National;NIMES;PARIS LYON;177;329;1;;166;14.81425703;7.662229102167179;;70;42.23452381;8.486016512;;60;46.99277777777781;36;12;50.72463768;11.5942029;15.94202899;7.246376812;5.7971014492753605;8.695652173913041
