Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2019-09;National;MONTPELLIER;PARIS LYON;209;269;0;;250;9.063866667;8.407992565;;25;43.838;5.717472119;;25;43.838;15;4;16.0;40.0;4.0;24.0;12.0;4.0
2019-09;National;MONTPELLIER;LYON PART DIEU;115;199;3;;167;3.443413174;2.912670068;;23;24.7826087;5.009693878;;18;28.33796296;3;2;0.0;47.82608696;21.73913043;17.39130435;8.695652174;4.347826087
2019-10;National;MONTPELLIER;PARIS LYON;308;263;12;;228;7.736330409;7.012749004;;49;45.92142857;-80.85511288;;49;45.92142857;29;13;27.08333333;39.58333333;20.83333333;6.25;2.083333333;4.166666667
2019-10;National;MONTPELLIER;LYON PART DIEU;116;188;7;;157;5.982908705;5.169244936;;37;29.74279279;8.316206262;;28;35.61488095;16;1;21.62162162;27.02702703;18.91891892;18.91891892;8.108108108;5.405405405
2019-11;National;MONTPELLIER;LYON PART DIEU;116;166;7;;144;3.11099537;2.799266247;;43;21.51899225;8.437631027;;29;27.76369048;7;1;27.90697674;37.20930233;13.95348837;16.27906977;4.651162791;0.0
2019-11;National;MONTPELLIER;PARIS LYON;380;227;11;;189;4.910405644;4.277469136;;44;-30.5125;-150.5621142;;44;34.67738095;18;3;52.27272727;13.63636364;15.90909091;15.90909091;2.272727273;0.0
2019-12;National;MONTPELLIER;LYON PART DIEU;116;65;19;;44;2.785984848;2.654347826;;8;21.52291667;5.969202899;;5;27.05666667;1;0;25.0;25.0;37.5;12.5;0.0;0.0
2019-12;National;MONTPELLIER;PARIS LYON;213;170;24;;128;4.5515625;3.958105023;;20;32.91916667;5.431849315;;20;32.91916667;6;2;30.0;20.0;35.0;5.0;5.0;5.0
2020-01;National;MONTPELLIER;PARIS LYON;211;188;9;;149;9.84295302;8.152420857;;40;52.26125;11.85391061;;40;52.26125;20;12;32.5;25.0;12.5;22.5;5.0;2.5
2020-01;National;MONTPELLIER;LYON PART DIEU;118;111;9;;97;3.45395189;3.276797386;;15;45.13333333;7.805882353;;11;56.67272727;7;4;40.0;26.66666667;13.33333333;13.33333333;6.666666667;0.0
2020-02;National;MONTPELLIER;LYON PART DIEU;114;168;3;;151;5.261037528;4.796262626;;22;33.95757576;5.688686869;;17;40.58529412;8;3;45.45454545;9.090909091;36.36363636;9.090909091;0.0;0.0
2020-02;National;MONTPELLIER;PARIS LYON;208;192;0;;160;5.414791667;4.48203125;;26;33.84871795;5.784027778;;26;33.84871795;12;2;19.23076923;38.46153846;11.53846154;19.23076923;7.692307692;3.846153846
2020-03;National;MONTPELLIER;LYON PART DIEU;115;97;9;;76;3.521491228;3.013825758;;8;24.07083333;3.084848485;;6;28.05833333;2;0;12.5;37.5;12.5;25.0;12.5;0.0
2020-03;National;MONTPELLIER;PARIS LYON;209;142;11;;110;5.147727273;4.280788804;;17;38.41764706;5.400381679;;17;38.41764706;7;4;41.17647059;5.882352941;17.64705882;29.41176471;0.0;5.882352941
2020-04;National;MONTPELLIER;PARIS LYON;207;34;13;;21;7.857142857;7.857142857;;4;21.4625;6.967460317;;4;21.4625;0;0;0.0;25.0;0.0;0.0;0.0;75.0
2020-04;National;MONTPELLIER;LYON PART DIEU;113;28;10;;17;2.766666667;2.597222222;;0;0.0;4.413888889;;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05;National;MONTPELLIER;PARIS LYON;208;129;15;;105;4.748095238;4.350730994;;11;44.23333333;3.331725146;;11;44.23333333;7;4;9.090909091;72.72727273;0.0;9.090909091;9.090909091;0.0
2020-05;National;MONTPELLIER;LYON PART DIEU;115;63;14;;46;6.258333333;5.865986395;;6;41.65555556;5.908163265;;5;47.82;3;1;0.0;50.0;0.0;0.0;50.0;0.0
2020-06;National;MONTPELLIER;LYON PART DIEU;116;64;7;;54;3.163888889;2.985087719;;7;16.82380952;3.425438596;;4;21.025;0;0;0.0;42.85714286;14.28571429;28.57142857;0.0;14.28571429
2020-06;National;MONTPELLIER;PARIS LYON;208;171;9;;149;5.148993289;4.722119342;;21;41.43333333;5.909259259;;21;41.43333333;12;5;33.33333333;38.88888889;11.11111111;16.66666667;0.0;0.0
2020-07;National;MONTPELLIER;PARIS LYON;210;232;5;;205;7.526747967;6.775697504;;42;39.525;8.858296623;;42;39.525;20;8;35.71428571;14.28571429;28.57142857;11.9047619;9.523809524;0.0
2020-07;National;MONTPELLIER;LYON PART DIEU;115;162;7;;142;4.665258216;4.260537634;;20;51.345;7.761827957;;15;64.62888889;10;4;20.0;20.0;30.0;20.0;5.0;5.0
2020-08;National;MONTPELLIER;LYON PART DIEU;115;167;1;;151;3.553863135;3.211947791;;21;38.49444444;6.132630522;;13;54.67307692;8;5;28.57142857;42.85714286;23.80952381;0.0;4.761904762;0.0
2020-08;National;MONTPELLIER;PARIS LYON;210;236;2;;204;7.315604575;6.352136752;;39;39.69102564;8.782193732;;41;43.61291667;23;8;41.02564103;15.38461538;17.94871795;17.94871795;5.128205128;2.564102564
2020-09;National;MONTPELLIER;PARIS LYON;208;209;1;;188;3.667464539;3.283413462;;14;36.25238095;3.460016026;;14;36.25238095;4;3;21.42857143;28.57142857;14.28571429;21.42857143;7.142857143;7.142857143
2020-09;National;MONTPELLIER;LYON PART DIEU;114;169;1;;156;2.487713675;2.291765873;;10;26.24;2.152083333;;9;27.80555556;2;0;10.0;30.0;10.0;50.0;0.0;0.0
2020-10;National;MONTPELLIER;LYON PART DIEU;115;129;2;;110;4.932272727;4.243569554;;24;33.35277778;7.706430446;;17;42.29313725;11;3;29.16666667;16.66666667;25.0;25.0;0.0;4.166666667
2020-10;National;MONTPELLIER;PARIS LYON;207;160;1;;142;7.541197183;6.701048218;;30;47.30611111;9.979454927;;30;47.30611111;17;7;46.66666667;13.33333333;20.0;16.66666667;3.333333333;0.0
2020-11;National;MONTPELLIER;PARIS LYON;208;99;10;;53;6.386477987;3.70917603;;5;57.8;2.904307116;;5;57.8;3;2;80.0;20.0;0.0;0.0;0.0;0.0
2020-11;National;MONTPELLIER;LYON PART DIEU;114;77;5;;56;2.312797619;1.755787037;;8;22.60625;3.350925926;;8;22.60625;2;0;50.0;25.0;12.5;12.5;0.0;0.0
2020-12;National;MONTPELLIER;PARIS LYON;206;178;10;;92;4.825905797;2.560515873;;13;50.68974359;3.164285714;;13;50.68974359;5;4;46.15384615;30.76923077;15.38461538;7.692307692;0.0;0.0
2020-12;National;MONTPELLIER;LYON PART DIEU;113;145;4;;93;3.013799283;1.925886525;;17;29.10196078;4.712765957;;14;32.75833333;5;1;23.52941176;41.17647059;17.64705882;17.64705882;0.0;0.0
2021-01;National;MONTPELLIER;LYON PART DIEU;113;179;1;;28;4.514880952;0.59428839;;6;57.32777778;3.3681647940074897;;6;57.32777777777781;3;3;66.66666667;16.66666667;16.66666667;0.0;0.0;0.0
2021-01;National;MONTPELLIER;PARIS LYON;205;181;1;;36;17.85277778;3.528796296;;31;43.07311828;7.446574074074079;;31;43.07311828;14;6;25.80645161;19.35483871;9.677419355;9.677419355;16.12903226;19.35483871
2021-02;National;MONTPELLIER;LYON PART DIEU;113;151;1;;40;11.105;3.044888889;;13;29.916666666666696;4.011555556;;11;32.85454545;5;1;46.15384615;7.692307692;7.692307692;15.38461538;7.692307692;15.38461538
2021-02;National;MONTPELLIER;PARIS LYON;206;174;1;;41;14.3199187;3.415028902;;19;65.35;7.200096339;;19;65.35;13;6;21.05263158;5.263157895;5.263157895;36.84210526;15.78947368;15.78947368
2021-03;National;MONTPELLIER;PARIS LYON;206;158;5;;26;11.96987179;1.992374728;;16;51.33229166666671;4.899891068;;16;51.33229167;10;5;18.75;56.25;0.0;12.5;0.0;12.5
2021-03;National;MONTPELLIER;LYON PART DIEU;113;163;5;;24;12.07222222;1.928586498;;12;28.82777778;3.482911392;;9;34.01851852;5;0;36.36363636;18.18181818;27.27272727;9.090909091;0.0;9.090909091
2021-04;National;MONTPELLIER;PARIS LYON;206;253;64;;60;8.1175;2.621428571;;11;36.30606061;1.959347443;;11;36.30606061;4;1;72.72727272727269;9.090909091;0.0;9.090909091;0.0;9.090909091
2021-04;National;MONTPELLIER;LYON PART DIEU;113;185;33;;18;10.31481481;1.321743929;;6;53.64444444;2.318432671;;5;61.87333333;4;3;66.66666667;0.0;0.0;16.66666667;0.0;16.66666667
2021-05;National;MONTPELLIER;LYON PART DIEU;114;203;2;;52;11.43269231;3.017330017;;16;33.37708333;3.6791873963515807;;14;36.23452381;7;1;37.5;31.25;6.25;0.0;6.25;18.75
2021-05;National;MONTPELLIER;PARIS LYON;208;246;15;;89;11.5241573;3.323071325;;32;45.0078125;8.186390102;;32;45.0078125;15;9;34.375;31.25;12.5;6.25;9.375;6.25
2021-06;National;MONTPELLIER;LYON PART DIEU;114;170;0;;58;12.99798851;4.548224852;;33;41.67121212;9.368540434;;28;46.80535714;19;7;51.51515152;18.18181818;12.12121212;6.060606061;6.060606061;6.060606061
2021-06;National;MONTPELLIER;PARIS LYON;206;251;0;;118;16.65310734;5.955378486;;61;49.45546448087431;12.72961487;;61;49.45546448087429;39;18;24.59016393;29.508196721311503;16.39344262;13.1147541;1.639344262;14.754098360655703
2021-07;National;MONTPELLIER;LYON PART DIEU;114;190;1;;65;16.42051282;5.627336861;;29;45.94482759;8.438800705;;21;58.32142857142859;10;6;31.03448276;0.0;24.13793103;27.5862069;10.34482759;6.896551724
2021-07;National;MONTPELLIER;PARIS LYON;208;329;1;;192;12.18723958;7.190388548057259;;60;46.99277778;9.696267894;;60;46.99277777777781;36;12;51.66666666666671;13.33333333;11.66666667;8.333333333;6.666666667;8.333333333
2021-08;National;MONTPELLIER;LYON PART DIEU;114;191;1;;75;11.37022222;4.561816578;;25;34.70733333;5.479717813;;21;38.99047619;8;4;48.0;0.0;16.0;24.0;8.0;4.0
