"Date","Départ","Arrivée","Nombre.de.trains.programmés","Nombre.de.trains.ayant.circulé","Nombre.de.trains.annulés","Nombre.de.trains.en.retard.à.l.arrivée","Taux.de.régularité","Nombre.de.trains.à.l.heure.pour.un.train.en.retard.à.l.arrivée"
"2021-02","PARIS-AUSTERLITZ","RODEZ/ALBI",3,1,2,0,100,0
"2021-02","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,23,5,0,100,0
"2021-01","PARIS-AUSTERLITZ","RODEZ/ALBI",27,27,0,0,100,0
"2021-01","CLERMONT-FERRAND","BÉZIERS",35,35,0,1,97.1428571428571,34
"2021-01","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,13,15,1,92.3076923076923,12
"2020-12","TOULOUSE-MATABIAU","BAYONNE",83,79,4,11,86.0759493670886,6.18181818181818
"2020-12","PARIS-AUSTERLITZ","RODEZ/ALBI",14,14,0,1,92.8571428571429,13
"2020-12","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",13,11,2,1,90.9090909090909,10
"2020-12","CLERMONT-FERRAND","BÉZIERS",37,37,0,8,78.3783783783784,3.625
"2020-11","TOULOUSE-MATABIAU","BAYONNE",40,40,0,1,97.5,39
"2020-11","CLERMONT-FERRAND","BÉZIERS",30,28,2,1,96.4285714285714,27
"2020-11","PARIS-AUSTERLITZ","RODEZ/ALBI",14,12,2,1,91.6666666666667,11
"2020-11","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",7,5,2,2,60,1.5
"2020-10","TOULOUSE-MATABIAU","BAYONNE",108,99,9,19,80.8080808080808,4.21052631578947
"2020-10","PARIS-AUSTERLITZ","RODEZ/ALBI",24,19,5,2,89.4736842105263,8.5
"2020-10","CLERMONT-FERRAND","BÉZIERS",31,30,1,2,93.3333333333333,14
"2020-10","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",22,19,3,0,100,0
"2020-09","PARIS-AUSTERLITZ","RODEZ/ALBI",27,24,3,1,95.8333333333333,23
"2020-09","CLERMONT-FERRAND","BÉZIERS",30,30,0,0,100,0
"2020-09","TOULOUSE-MATABIAU","BAYONNE",119,112,7,18,83.9285714285714,5.22222222222222
"2020-09","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",23,17,6,1,94.1176470588235,16
"2020-08","TOULOUSE-MATABIAU","BAYONNE",124,118,6,19,83.8983050847458,5.21052631578947
"2020-08","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",2,2,0,0,100,0
"2020-08","CLERMONT-FERRAND","BÉZIERS",31,31,0,3,90.3225806451613,9.33333333333333
"2020-08","PARIS-AUSTERLITZ","RODEZ/ALBI",15,15,0,1,93.3333333333333,14
"2020-07","CLERMONT-FERRAND","BÉZIERS",30,30,0,3,90,9
"2020-07","PARIS-AUSTERLITZ","RODEZ/ALBI",10,10,0,2,80,4
"2020-06","CLERMONT-FERRAND","BÉZIERS",30,29,1,3,89.6551724137931,8.66666666666667
"2020-05","CLERMONT-FERRAND","BÉZIERS",16,16,0,1,93.75,15
"2020-03","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",12,10,2,0,100,10
"2020-03","CLERMONT-FERRAND","BÉZIERS",22,22,0,0,100,22
"2020-03","PARIS-AUSTERLITZ","RODEZ/ALBI",10,10,0,1,90,9
"2020-02","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",19,16,3,0,100,0
"2020-02","CLERMONT-FERRAND","BÉZIERS",29,29,0,3,89.6551724137931,8.66666666666667
"2020-02","PARIS-AUSTERLITZ","RODEZ/ALBI",22,20,2,3,85,5.66666666666667
"2020-01","CLERMONT-FERRAND","BÉZIERS",29,29,0,1,96.551724137931,28
"2020-01","PARIS-AUSTERLITZ","RODEZ/ALBI",2,1,1,0,100,0
"2020-01","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",1,1,0,0,100,0
"2019-12","TOULOUSE-MATABIAU","BAYONNE",19,19,0,1,94.7368421052632,18
"2019-12","CLERMONT-FERRAND","BÉZIERS",10,9,1,2,77.7777777777778,3.5
"2019-12","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",2,1,1,0,100,0
"2019-12","PARIS-AUSTERLITZ","RODEZ/ALBI",3,3,0,0,100,0
"2019-11","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",17,14,3,1,92.8571428571429,13
"2019-11","TOULOUSE-MATABIAU","BAYONNE",89,82,7,7,91.4634146341464,10.7142857142857
"2019-11","PARIS-AUSTERLITZ","RODEZ/ALBI",24,23,1,4,82.6086956521739,4.75
"2019-11","CLERMONT-FERRAND","BÉZIERS",30,29,1,8,72.4137931034483,2.625
"2019-10","PARIS-AUSTERLITZ","RODEZ/ALBI",25,19,6,5,73.6842105263158,2.8
"2019-10","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",20,15,5,0,100,0
"2019-10","CLERMONT-FERRAND","BÉZIERS",31,26,5,2,92.3076923076923,12
"2019-10","TOULOUSE-MATABIAU","BAYONNE",106,95,11,7,92.6315789473684,12.5714285714286
"2019-09","TOULOUSE-MATABIAU","BAYONNE",116,114,2,9,92.1052631578947,11.6666666666667
"2019-09","CLERMONT-FERRAND","BÉZIERS",29,28,1,4,85.7142857142857,6
"2019-09","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,23,5,0,100,0
"2019-09","PARIS-AUSTERLITZ","RODEZ/ALBI",28,26,2,6,76.9230769230769,3.33333333333333
"2019-08","CLERMONT-FERRAND","BÉZIERS",28,28,0,2,92.8571428571429,13
"2019-08","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,26,2,1,96.1538461538462,25
"2019-08","TOULOUSE-MATABIAU","BAYONNE",112,109,3,11,89.9082568807339,8.90909090909091
"2019-08","PARIS-AUSTERLITZ","RODEZ/ALBI",24,23,1,7,69.5652173913043,2.28571428571429
"2019-07","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",31,31,0,0,100,0
"2019-07","TOULOUSE-MATABIAU","BAYONNE",124,124,0,23,81.4516129032258,4.39130434782609
"2019-07","CLERMONT-FERRAND","BÉZIERS",32,32,0,2,93.75,15
